date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
31/01/2020,2,2,,,,,0.029,0.029,,,,,
01/02/2020,2,0,,,,,0.029,0,,,,,
02/02/2020,2,0,,,,,0.029,0,,,,,
03/02/2020,8,6,,,,,0.117,0.088,,,,,
04/02/2020,8,0,,,,,0.117,0,,,,,
05/02/2020,9,1,1.286,,,0,0.132,0.015,0.019,,,0,
06/02/2020,9,0,1.286,,,0,0.132,0,0.019,,,0,
07/02/2020,9,0,1,,,0,0.132,0,0.015,,,0,
08/02/2020,13,4,1.571,,,0,0.191,0.059,0.023,,,0,
09/02/2020,14,1,1.714,,,0,0.205,0.015,0.025,,,0,
10/02/2020,14,0,0.857,,,0,0.205,0,0.013,,,0,
11/02/2020,15,1,1,,,0,0.22,0.015,0.015,,,0,
12/02/2020,16,1,1,,,0,0.235,0.015,0.015,,,0,
13/02/2020,17,1,1.143,,,0,0.249,0.015,0.017,,,0,
14/02/2020,18,1,1.286,,,0,0.264,0.015,0.019,,,0,
15/02/2020,18,0,0.714,,,0,0.264,0,0.01,,,0,
16/02/2020,18,0,0.571,,,0,0.264,0,0.008,,,0,
